sku_id,asin,product_name,category,date,inventory_on_hand,sales_units,revenue,ad_spend,has_buy_box,my_price,competitor_price
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-01,401,69.8187,1745.47,498.71,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-02,401,73.8695,1846.74,527.64,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-03,401,74.2421,1856.05,530.3,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-04,400,53.4113,1335.28,381.51,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-05,400,53.8736,1346.84,384.81,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-06,400,76.7352,1918.38,548.11,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-07,400,61.4606,1536.51,439.0,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-08,399,76.5953,1914.88,547.11,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-09,399,55.4638,1386.6,396.17,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-10,399,54.9831,1374.58,392.74,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-11,398,73.4357,1835.89,524.54,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-12,398,65.6692,1641.73,469.07,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-13,398,60.0444,1501.11,428.89,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-14,397,64.1841,1604.6,458.46,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-15,397,67.2075,1680.19,480.05,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-16,397,58.2116,1455.29,415.8,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-17,396,79.1468,1978.67,565.33,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-18,396,64.3756,1609.39,459.83,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-19,396,55.9585,1398.96,399.7,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-20,395,61.6366,1540.91,440.26,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-21,395,58.7435,1468.59,419.6,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-22,395,54.5085,1362.71,389.35,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-23,394,58.6189,1465.47,418.71,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-24,394,75.1455,1878.64,536.75,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-25,394,58.7633,1469.08,419.74,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-26,394,58.0927,1452.32,414.95,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-27,393,76.9545,1923.86,549.67,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-28,393,64.7691,1619.23,462.64,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-29,393,73.4806,1837.01,524.86,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-30,392,54.8389,1370.97,391.71,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-03-31,392,63.3305,1583.26,452.36,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-01,392,71.2562,1781.41,508.97,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-02,391,77.8539,1946.35,556.1,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-03,391,62.6315,1565.79,447.37,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-04,391,74.538,1863.45,532.41,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-05,390,57.0024,1425.06,407.16,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-06,390,62.981,1574.53,449.87,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-07,390,58.459,1461.48,417.57,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-08,389,63.431,1585.77,453.08,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-09,389,66.1605,1654.01,472.57,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-10,389,77.7444,1943.61,555.32,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-11,388,76.897,1922.43,549.27,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-12,388,73.7214,1843.04,526.58,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-13,388,64.2737,1606.84,459.1,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-14,388,62.0357,1550.89,443.11,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-15,387,61.4156,1535.39,438.68,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-16,387,58.4309,1460.77,417.36,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-17,387,63.2754,1581.88,451.97,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-18,386,76.1598,1904.0,544.0,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-19,386,65.765,1644.12,469.75,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-20,386,55.402,1385.05,395.73,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-21,385,76.2661,1906.65,544.76,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-22,385,65.2556,1631.39,466.11,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-23,385,52.7622,1319.06,376.87,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-24,384,64.1405,1603.51,458.15,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-25,384,55.2432,1381.08,394.59,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-26,384,53.2197,1330.49,380.14,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-27,383,66.3395,1658.49,473.85,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-28,383,57.0938,1427.35,407.81,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-29,383,73.7659,1844.15,526.9,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-04-30,383,66.1628,1654.07,472.59,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-01,382,61.6419,1541.05,440.3,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-02,382,64.2275,1605.69,458.77,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-03,382,56.0719,1401.8,400.51,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-04,381,56.9007,1422.52,406.43,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-05,381,67.8502,1696.26,484.65,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-06,381,58.773,1469.33,419.81,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-07,380,52.5473,1313.68,375.34,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-08,380,75.9598,1899.0,542.57,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-09,380,52.4784,1311.96,374.85,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-10,379,57.2892,1432.23,409.21,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-11,379,72.7994,1819.99,520.0,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-12,379,59.8282,1495.71,427.35,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-13,378,71.4897,1787.24,510.64,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-14,378,65.8326,1645.82,470.23,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-15,378,66.843,1671.08,477.45,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-16,377,70.8924,1772.31,506.37,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-17,377,66.9682,1674.2,478.34,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-18,377,53.6198,1340.49,383.0,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-19,377,52.8908,1322.27,377.79,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-20,376,56.9928,1424.82,407.09,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-21,376,68.1034,1702.58,486.45,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-22,376,65.9587,1648.97,471.13,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-23,375,62.2581,1556.45,444.7,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-24,375,71.1441,1778.6,508.17,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-25,375,60.5312,1513.28,432.37,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-26,374,49.9985,1249.96,357.13,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-27,374,65.7538,1643.85,469.67,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-28,374,68.2923,1707.31,487.8,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-29,373,60.43,1510.75,431.64,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-30,373,51.6134,1290.34,368.67,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-05-31,373,72.1626,1804.07,515.45,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-01,372,70.3802,1759.51,502.72,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-02,372,53.2899,1332.25,380.64,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-03,372,57.2148,1430.37,408.68,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-04,371,69.2488,1731.22,494.63,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-05,371,71.7339,1793.35,512.39,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-06,371,55.6174,1390.44,397.27,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-07,371,68.6772,1716.93,490.55,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-08,370,59.3942,1484.86,424.25,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-09,370,53.1334,1328.34,379.53,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-10,370,70.5839,1764.6,504.17,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-11,369,69.1984,1729.96,494.27,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-12,369,49.8057,1245.14,355.75,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-13,369,57.3181,1432.95,409.41,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-14,368,68.8117,1720.29,491.51,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-15,368,68.9617,1724.04,492.58,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-16,368,68.3297,1708.24,488.07,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-17,367,70.348,1758.7,502.49,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-18,367,54.3874,1359.68,388.48,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-19,367,60.1569,1503.92,429.69,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-20,366,68.2903,1707.26,487.79,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-21,366,49.3956,1234.89,352.83,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-22,366,56.7817,1419.54,405.58,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-23,366,72.2942,1807.36,516.39,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-24,365,64.3095,1607.74,459.35,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-25,365,72.5165,1812.91,517.97,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-26,365,71.4352,1785.88,510.25,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-27,364,72.1302,1803.26,515.22,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-28,364,71.877,1796.92,513.41,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-29,364,51.1098,1277.74,365.07,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-06-30,363,66.0854,1652.14,472.04,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-01,363,63.0676,1576.69,450.48,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-02,363,57.6693,1441.73,411.92,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-03,362,54.4673,1361.68,389.05,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-04,362,48.3128,1207.82,345.09,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-05,362,61.2148,1530.37,437.25,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-06,361,66.0645,1651.61,471.89,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-07,361,56.9139,1422.85,406.53,false,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-08,361,64.0802,1602.01,457.72,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-09,360,55.6057,1390.14,397.18,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-10,360,65.3013,1632.53,466.44,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-11,360,55.3974,1384.93,395.69,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-12,360,57.5807,1439.52,411.29,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-13,359,50.9422,1273.56,363.87,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-14,359,70.3511,1758.78,502.51,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-15,359,69.3916,1734.79,495.65,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-16,358,54.9559,1373.9,392.54,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-17,358,47.7357,1193.39,340.97,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-18,358,57.9334,1448.34,413.81,true,25.0,25.5
ABC-001,B0ABC00100,Wireless Earbuds Pro,Electronics,2026-07-19,357,63.2377,1580.94,451.7,true,25.0,25.5
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-01,140,136.7609,4102.83,2051.41,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-02,140,138.3946,4151.84,2075.92,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-03,140,156.3425,4690.27,2345.14,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-04,140,116.4859,3494.58,1747.29,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-05,140,147.0024,4410.07,2205.03,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-06,139,157.2398,4717.19,2358.59,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-07,139,149.003,4470.09,2235.05,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-08,139,122.5047,3675.14,1837.57,true,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-09,139,124.9569,3748.71,1874.36,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-10,139,158.5081,4755.24,2377.62,true,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-11,139,134.1946,4025.84,2012.92,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-12,139,121.8745,3656.24,1828.12,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-13,139,138.428,4152.84,2076.42,false,30.0,28.0
DEF-002,B0DEF00200,Organic Protein Powder,Grocery,2026-01-14,139,147.289,4418.67,2209.34,true,30.0,28.0
